,County,Precinct,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PRESLAR,G16PREAROC,G16SOSRESP,G16SOSDOLI,G16SSCRNAK,G16SSCDVIG,G16SACRFRE,G16SACDVAR,COUNTYFP
149,Bernalillo,Precinct 164,69,247,20,7,0,0,0,0,72,264,120,212,72,259,001
150,Bernalillo,Precinct 165,40,291,24,13,0,0,0,0,51,304,85,261,50,292,001
151,Bernalillo,Precinct 166,39,234,26,19,0,0,0,0,46,261,97,204,62,238,001
152,Bernalillo,Precinct 170,429,506,134,9,0,0,0,0,442,594,585,454,487,529,001
153,Bernalillo,Precinct 171,381,498,112,8,6,0,0,0,407,580,513,452,444,516,001
154,Bernalillo,Precinct 180,77,190,30,0,0,0,0,0,77,219,154,143,122,170,001
155,Bernalillo,Precinct 181,164,591,63,12,0,0,0,0,161,640,331,475,208,584,001
156,Bernalillo,Precinct 182,112,238,46,0,0,0,0,0,112,276,175,208,130,252,001
157,Bernalillo,Precinct 183,184,479,76,11,0,0,0,0,205,518,313,414,236,476,001
158,Bernalillo,Precinct 184,95,291,30,6,0,0,0,0,95,318,194,220,139,271,001
159,Bernalillo,Precinct 185,201,626,56,15,0,0,0,0,201,680,415,457,286,565,001
160,Bernalillo,Precinct 186,171,485,59,0,0,0,0,0,153,542,279,416,203,479,001
161,Bernalillo,Precinct 187,118,416,47,11,0,0,0,0,126,436,223,338,137,423,001
162,Bernalillo,Precinct 191,89,222,33,0,7,0,0,0,95,254,152,191,111,226,001
163,Bernalillo,Precinct 192,74,288,36,7,0,0,0,0,85,309,160,231,90,301,001
164,Bernalillo,Precinct 193,102,270,44,12,0,0,0,0,103,310,169,237,120,275,001
165,Bernalillo,Precinct 194,119,303,40,6,0,0,0,0,126,326,171,282,147,303,001
166,Bernalillo,Precinct 195,70,209,34,0,0,0,0,0,74,227,122,181,91,210,001
167,Bernalillo,Precinct 196,68,176,30,6,0,0,0,0,69,194,99,158,75,181,001
168,Bernalillo,Precinct 197,99,304,34,13,0,0,0,0,105,325,171,251,118,292,001
169,Bernalillo,Precinct 211,40,173,26,7,0,0,0,0,48,198,95,148,56,182,001
170,Bernalillo,Precinct 212,46,267,46,15,0,0,0,0,67,298,106,248,61,294,001
171,Bernalillo,Precinct 214,45,280,24,11,0,0,0,0,50,300,112,230,71,267,001
172,Bernalillo,Precinct 215,39,218,39,19,0,0,0,0,61,246,93,209,71,225,001
173,Bernalillo,Precinct 216,76,279,50,0,0,0,0,0,100,284,156,228,125,252,001
174,Bernalillo,Precinct 217,17,60,0,0,0,0,0,0,19,64,35,44,23,55,001
175,Bernalillo,Precinct 221,80,427,48,10,6,0,0,0,90,467,162,384,107,426,001
176,Bernalillo,Precinct 223,19,208,31,18,0,0,0,0,27,243,57,215,39,225,001
177,Bernalillo,Precinct 224,32,176,12,14,0,0,0,0,32,197,52,174,39,183,001
178,Bernalillo,Precinct 225,17,91,10,6,0,0,0,0,20,99,36,84,21,98,001
179,Bernalillo,Precinct 226,22,163,25,0,0,0,0,0,36,170,59,143,38,163,001
180,Bernalillo,Precinct 241,35,228,29,18,0,0,0,0,48,258,77,222,56,242,001
181,Bernalillo,Precinct 242,33,282,26,9,0,0,7,0,37,306,67,272,44,288,001
182,Bernalillo,Precinct 243,47,342,48,12,0,0,0,0,57,376,106,324,72,350,001
183,Bernalillo,Precinct 244,64,455,40,23,0,0,0,0,70,490,181,373,112,432,001
184,Bernalillo,Precinct 245,45,331,21,20,0,0,0,0,49,350,129,267,71,325,001
185,Bernalillo,Precinct 246,33,183,31,8,0,0,0,0,48,197,71,167,56,181,001
186,Bernalillo,Precinct 251,49,280,15,7,0,0,0,0,58,289,158,186,82,251,001
187,Bernalillo,Precinct 252,54,321,37,0,0,0,0,0,58,345,155,244,104,287,001
188,Bernalillo,Precinct 253,115,490,39,12,0,0,0,0,94,540,224,406,154,472,001
189,Bernalillo,Precinct 254,101,442,47,11,0,0,0,0,97,487,229,342,156,405,001
190,Bernalillo,Precinct 255,98,443,48,18,0,0,0,0,110,478,211,362,146,422,001
191,Bernalillo,Precinct 256,62,351,21,12,0,0,0,0,68,373,160,264,98,317,001
192,Bernalillo,Precinct 257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001
193,Bernalillo,Precinct 258,174,99,44,0,15,0,0,0,191,118,213,91,200,95,001
194,Bernalillo,Precinct 271,93,336,43,14,0,0,0,0,92,389,188,283,129,333,001
195,Bernalillo,Precinct 272,54,341,29,21,0,0,0,0,65,378,182,252,109,316,001
196,Bernalillo,Precinct 273,116,409,54,11,0,0,0,0,137,438,235,332,173,386,001
197,Bernalillo,Precinct 274,47,298,23,11,0,0,0,0,54,316,123,237,73,287,001
198,Bernalillo,Precinct 275,171,390,72,18,0,0,0,0,166,457,244,374,196,421,001
199,Bernalillo,Precinct 278,116,169,35,0,0,0,0,0,119,200,177,138,139,172,001
200,Bernalillo,Precinct 281,58,212,33,7,0,0,0,0,61,233,109,180,72,213,001
201,Bernalillo,Precinct 282,140,332,56,6,0,0,6,0,118,394,228,269,167,329,001
202,Bernalillo,Precinct 283,51,151,20,0,0,0,0,0,45,170,80,135,64,152,001
203,Bernalillo,Precinct 284,113,230,35,7,0,0,0,0,101,272,179,197,132,242,001
204,Bernalillo,Precinct 285,87,193,37,6,0,0,0,0,93,223,145,165,116,193,001
205,Bernalillo,Precinct 286,164,385,87,15,0,0,6,0,199,423,229,374,196,418,001
206,Bernalillo,Precinct 287,77,198,35,0,0,0,0,0,68,238,132,171,111,188,001
207,Bernalillo,Precinct 289,899,848,218,0,29,10,0,0,935,1002,1271,662,1124,774,001
208,Bernalillo,Precinct 290,165,120,40,0,0,0,0,0,180,139,227,96,211,111,001
209,Bernalillo,Precinct 291,177,211,74,6,0,0,0,0,188,272,257,195,223,219,001
210,Bernalillo,Precinct 292,392,494,112,13,11,0,0,0,400,591,550,420,482,490,001
211,Bernalillo,Precinct 293,207,379,103,7,0,0,0,0,236,443,337,338,274,385,001
212,Bernalillo,Precinct 294,323,218,70,0,0,0,0,0,333,263,438,158,396,196,001
213,Bernalillo,Precinct 295,259,233,61,0,8,0,0,0,284,258,378,164,333,199,001
